Name,Location,Price per Night
Hampton Inn Alexander City,"Alexander City, AL",$85
Embassy Suites by Hilton Birmingham Hoover,"Birmingham, AL",$125
Hampton Inn & Suites Birmingham/280 East-Eagle Point,"Birmingham, AL",$78
Hampton Inn Birmingham-Colonnade 280,"Birmingham, AL",$101
DoubleTree by Hilton Birmingham Perimeter Park,"Birmingham, AL",$108
Hilton Garden Inn Birmingham/Lakeshore Drive,"Birmingham, AL",$86
Hampton Inn Birmingham I-65/Lakeshore Drive,"Birmingham, AL",$99
Hampton Inn Birmingham/Mountain Brook,"Birmingham, AL",$99
Embassy Suites by Hilton Birmingham,"Birmingham, AL",$117
Hilton Garden Inn Birmingham SE/Liberty Park,"Birmingham, AL",$78
Hilton Birmingham at UAB,"Birmingham, AL",$113
Hilton Garden Inn Downtown Birmingham,"Birmingham, AL",$109
Hampton Inn Auburn,"Auburn, AL",$87
Tru by Hilton Auburn,"Auburn, AL",$78
Hampton Inn & Suites Birmingham-Downtown-Tutwiler,"Birmingham, AL",$106
Hampton Inn & Suites Birmingham East Irondale,"Birmingham, AL",$92
Hilton Garden Inn Auburn/Opelika,"Auburn, AL",$104
Hilton Garden Inn Birmingham/Trussville,"Birmingham, AL",$103
Hampton Inn Atmore,"Atmore, AL",$87
Hampton Inn & Suites Athens-I-65 (Huntsville Area),"Athens, AL",$120
Name,Location,Price per Night
Hampton Inn & Suites Fairbanks,"Fairbanks, AK",$153
Hilton Anchorage,"Anchorage, AK",$135
Embassy Suites by Hilton Anchorage,"Anchorage, AK",$154
Hampton Inn Anchorage,"Anchorage, AK",$87
Hilton Garden Inn Anchorage,"Anchorage, AK",$91
Home2 Suites by Hilton Anchorage/Midtown,"Anchorage, AK",$111
Homewood Suites by Hilton Anchorage,"Anchorage, AK",$111
Name,Location,Price per Night
Hampton Inn & Suites Phoenix East Mesa,"Gilbert, AZ",$182
Hampton Inn Phoenix/Anthem,"Anthem, AZ",$165
DoubleTree by Hilton Hotel Phoenix - Gilbert,"Gilbert, AZ",$172
Hampton Inn & Suites Phoenix/Gilbert,"Gilbert, AZ",$160
Hilton Garden Inn Chandler Downtown,"Chandler, AZ",
Hilton Phoenix Chandler,"Chandler, AZ",$187
Homewood Suites by Hilton Phoenix Chandler Fashion Center,"Chandler, AZ",$184
Hampton Inn & Suites Phoenix Chandler-Fashion Center AZ,"Chandler, AZ",$145
Home2 Suites by Hilton Phoenix Chandler,"Chandler, AZ",$156
Hampton Inn Phoenix/Chandler,"Chandler, AZ",$143
Homewood Suites by Hilton Phoenix/Chandler,"Chandler, AZ",$210
DoubleTree by Hilton Phoenix Chandler,"Chandler, AZ",$170
Homewood Suites by Hilton Phoenix-Avondale,"Avondale, AZ",$243
Hilton Garden Inn Phoenix/Avondale,"Avondale, AZ",$215
Hampton Inn & Suites Flagstaff,"Flagstaff, AZ",$82
Hilton Garden Inn Flagstaff,"Flagstaff, AZ",$83
Hampton Inn & Suites Flagstaff East,"Flagstaff, AZ",$90
DoubleTree by Hilton Hotel Flagstaff,"Flagstaff, AZ",$93
Embassy Suites by Hilton Flagstaff,"Flagstaff, AZ",$104
Home2 Suites by Hilton Buckeye Phoenix,"Buckeye, AZ",$216
Name,Location,Price per Night
Hilton Garden Inn Conway,"Conway, AR",$91
Home2 Suites by Hilton Conway,"Conway, AR",$91
Hampton Inn & Suites Conway,"Conway, AR",
Hampton Inn Batesville,"Batesville, AR",$102
Hampton Inn Bryant,"Bryant, AR",$94
Hampton Inn Forrest City,"Forrest City, AR",$90
Hampton Inn Clarksville,"Clarksville, AR",$79
Hampton Inn Arkadelphia,"Arkadelphia, AR",$75
Hampton Inn Blytheville,"Blytheville, AR",$103
Home2 Suites by Hilton Fort Smith,"Fort Smith, AR",$87
Homewood Suites by Hilton Fort Smith,"Fort Smith, AR",$91
Tru by Hilton Crossett,"Crossett, AR",$86
Hampton Inn Fort Smith,"Fort Smith, AR",$87
Hampton Inn Fayetteville,"Fayetteville, AR",$98
Hampton Inn El Dorado,"El Dorado, AR",$97
Hilton Garden Inn Fayetteville,"Fayetteville, AR",$100
Homewood Suites by Hilton Fayetteville,"Fayetteville, AR",$95
DoubleTree by Hilton Fort Smith City Center,"Fort Smith, AR",$74
Hilton Garden Inn Bentonville Rogers,"Bentonville, AR",$87
DoubleTree Suites by Hilton Hotel Bentonville,"Bentonville, AR",$108
Name,Location,Price per Night
Home2 Suites by Hilton Atascadero,"Atascadero, CA",
Hampton Inn Arvin Tejon Ranch,"Arvin, CA",$114
Hampton Inn & Suites Arroyo Grande/Pismo Beach Area,"Arroyo Grande, CA",$72
Home2 Suites by Hilton Alameda Oakland Airport,"Alameda, CA",$165
Hampton Inn & Suites Oakland Airport-Alameda,"Alameda, CA",$119
DoubleTree by Hilton Hotel & Spa Napa Valley - American Canyon,"American Canyon, CA",$87
Hampton Inn & Suites Agoura Hills,"Agoura Hills, CA",$133
Homewood Suites by Hilton Agoura Hills,"Agoura Hills, CA",$131
Hilton Garden Inn Arcadia/Pasadena Area,"Arcadia, CA",$120
Hampton Inn Los Angeles/Arcadia/Pasadena,"Arcadia, CA",$123
Embassy Suites by Hilton Arcadia Pasadena Area,"Arcadia, CA",$144
